"model","n","events","parameters","AIC","concordance","concordance_se","incremental_lrt_p"
"Clinical covariates only",417,194,3,1936.80861636884,0.635736723274762,0.0224970201819945,NA
"Clinical + IFNG",417,194,4,1905.58180004924,0.690708746441543,0.0205829702915219,8.20117097750865e-09
"Clinical + IFNG + glutamine",417,194,5,1907.33001523278,0.690880534013939,0.0205150497087709,0.61582112782449
"Clinical + IFNG + glutamine + interaction",417,194,6,1909.20841243798,0.690954157259252,0.020437368282349,0.727302589128652
