"term","estimate","std.error","robust.se","statistic","p.value","conf.low","conf.high"
"gln_z",0.962662768840704,0.0826096432090768,0.073930452335109,-0.514701525988695,0.606761606928123,0.832807179691268,1.11276611094491
"ifng_z",0.604345338993975,0.110193321082355,0.107326174181279,-4.6923268715799,2.70115094449863e-06,0.489698723424968,0.745832634010744
"time_period>3 years",NA,0,0,NA,NA,NA,NA
"age10",1.25428943640226,0.0506192375443216,0.0508976252990467,4.45146948948983,8.5284651803523e-06,1.13520325434806,1.38586811149849
"genderMale",0.963773900433498,0.153771586159107,0.162307355255833,-0.227337540814141,0.820161283858201,0.701162837530498,1.32474238712972
"stageLate (III/IV)",1.78096963777318,0.149701865699609,0.153769639471847,3.75339344158716,0.00017445671097735,1.31755138296829,2.4073845556779
"ifng_z:time_period>3 years",1.14911606312302,0.148915512812162,0.143600317337057,0.967915730510212,0.333086457474907,0.867223591806949,1.52263815122467
"gln_z:ifng_z",1.02079704824733,0.0779697504779829,0.0728378890636201,0.282596630154862,0.777486063827842,0.884992687006671,1.17744093144423
