"model","n","events","parameters","AIC","concordance","LRT_vs_previous"
"Clinical covariates",203,99,6,908.793678983726,0.620567678145244,NA
"Clinical + IFNG",203,99,7,898.697514348134,0.675673371974088,0.000505256458829612
"Clinical + IFNG + glutamine",203,99,8,897.177888859642,0.677974769860211,0.060646149908055
"Clinical + IFNG + glutamine + interaction",203,99,9,895.125262948237,0.691186498465735,0.0441026916964986
