"method","signature","immune_r","stromal_r"
"EPIC","gln_z",-0.447717279618066,-0.100782692676792
"EPIC","ifng_z",0.520151680197438,0.0923041492242408
"MCP-counter","gln_z",-0.481171341795035,-0.0502580853392672
"MCP-counter","ifng_z",0.800079446393738,0.0381873631028088
