"adjustment","n","correlation","conf.low","conf.high","p.value"
"Unadjusted",469,-0.39679739218966,-0.470440332153642,-0.317665562515152,3.89466889025648e-19
"ABSOLUTE purity + sample type",461,-0.218160267869437,-0.303442354360323,-0.129410754725762,2.2623350203544e-06
"Purity + sample type + EPIC immune/stromal",441,-0.146409249007945,-0.236553112928375,-0.0537664382361468,0.00205273543336394
"Purity + sample type + MCP-counter immune/stromal PCs",461,0.0192054683772341,-0.0722491649982618,0.110339841500409,0.680869196523607
