"model","n","events","term","hazard_ratio","conf.low","conf.high","p.value"
"EPIC-adjusted",393,180,"gln_z",0.938985007901016,0.783560155979494,1.12523950884244,0.495301884192164
"EPIC-adjusted",393,180,"ifng_z",0.667851055833794,0.550257608881922,0.810574948131293,4.40367920170094e-05
"EPIC-adjusted",393,180,"age10",1.24596627660366,1.12453091917653,1.38051514276762,2.63171841449476e-05
"EPIC-adjusted",393,180,"genderMale",0.988186452380524,0.715532203221407,1.3647358711069,0.942485668250571
"EPIC-adjusted",393,180,"stageLate (III/IV)",1.77510945391671,1.30745378715245,2.41003820123324,0.000234804060334611
"EPIC-adjusted",393,180,"purity",1.38650769473067,0.512109696599963,3.75389023154749,0.520183680618657
"EPIC-adjusted",393,180,"sample_typeMetastatic",0.4913936687668,0.302992012283948,0.796944235869177,0.00397725451472283
"EPIC-adjusted",393,180,"epic_immune_z",0.94233322423745,0.739338547217961,1.20106263746582,0.631329369112038
"EPIC-adjusted",393,180,"epic_stromal_z",1.07640756745467,0.932964018784869,1.24190561259025,0.31295603259522
"EPIC-adjusted",393,180,"gln_z:ifng_z",0.963034631947808,0.811274809789256,1.14318316203084,0.666829459407218
"MCP-counter-adjusted",409,190,"gln_z",0.916955833515317,0.769007930511664,1.09336713869561,0.334199103678249
"MCP-counter-adjusted",409,190,"ifng_z",0.773667973236012,0.596207608181997,1.00394916904248,0.0535677378386697
"MCP-counter-adjusted",409,190,"age10",1.25492297368809,1.1330413568334,1.38991543458879,1.32399601107766e-05
"MCP-counter-adjusted",409,190,"genderMale",0.997920006245431,0.731209331516268,1.36191415500655,0.989529519295389
"MCP-counter-adjusted",409,190,"stageLate (III/IV)",1.79293704090598,1.3313395363249,2.41457805837159,0.000120890134136917
"MCP-counter-adjusted",409,190,"purity",1.38329352307102,0.528354941405052,3.62162028026401,0.508770979413584
"MCP-counter-adjusted",409,190,"sample_typeMetastatic",0.463720718603154,0.287302587800914,0.748468388355885,0.00165469722538987
"MCP-counter-adjusted",409,190,"mcp_immune_z",0.823723181087185,0.59110989330903,1.14787434069499,0.252047682885664
"MCP-counter-adjusted",409,190,"mcp_stromal_z",1.11848560933597,0.958105417531852,1.30571233123215,0.156190854752119
"MCP-counter-adjusted",409,190,"gln_z:ifng_z",0.998407519571057,0.852245138256163,1.16963715061571,0.984255315342474
