"Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells","patient_id","convergeCode","convergeMessage","RMSE_weighted","Root_mean_squared_geneExpr_weighted","spearmanR","spearmanP","pearsonR","pearsonP","regline_a_x","regline_b","regline_a_x_through0","sum_mRNAProportions"
0.00765640975874179,0.251631875972395,0.00476825859019841,3.29336074765675e-06,0.0375279768361992,0.0132695364379673,0.00041501634948049,0.68472763269427,"TCGA-D3-A3MU",0,"",271.882226944791,712.849428994181,0.693285819482432,0,0.886854687513238,1.28288975515378e-33,0.87484841038187,48.6090420324801,0.89527688405396,0.337684143742018
0.0118404226001174,0.023333497832928,0.017565683222557,1.70869493363257e-06,0.0101119306771053,0.0236561282272936,4.71133342780939e-07,0.913490157611722,"TCGA-ER-A2ND",0,"",70.3152590669373,114.526363047343,0.521187415771152,4.41773260949153e-08,0.746444926220251,1.70309878457484e-18,0.560865841617983,13.4097529362142,0.603521864320158,0.138327443950389
0.00247018275952285,0.00853320035531402,0.0281317198636859,0.0139169143507235,0.0137890074753812,0.00756227552049815,3.91725661399387e-10,0.925596699283149,"TCGA-ER-A3ES",0,"",85.0126276223125,91.1403998468902,0.377165605662808,0.000140015411334091,0.273459415815861,0.00672400886511174,0.0843567516113219,10.2311949494942,0.114010923925582,0.09146694826261
0.0155608469452963,0.116655520919978,0.0514605902241648,0.0112245200694366,0.0678376423719701,0.148436844175749,0.0016502883514584,0.587173746941947,"TCGA-ER-A2NH",0,"",337.4208665569,522.8346220728,0.687118661897749,0,0.723646782507609,5.61414160499861e-17,0.494420495928714,67.6624365462725,0.530941027108281,0.573844416827985
0.000425706319859504,0.00171752918221392,0.0261094016031154,0.0156928093047774,0.0396188787427232,0.00344852644562194,6.19628174794729e-09,0.912987142205407,"TCGA-GN-A262",0,"",73.7644275718212,75.6252421690123,0.229483621502815,0.0237519658733068,0.0633282580014705,0.537733186607975,0.0141924448226764,7.10476087995242,0.0524860637310057,0.0945196258643338
0.00583982635563059,0.0279744018717596,0.0266079445276007,0.00505492851859231,0.0233971094006803,0.0120585264980591,7.92696898163531e-10,0.89906726203498,"TCGA-D3-A2JG",0,"",97.3563761746448,127.342261332256,0.56229802985928,2.05365368327978e-09,0.538192357652889,1.30477103325929e-08,0.313909041456883,15.7399029989155,0.356334021041991,0.127441576757203
0.000365803247969582,0.184430949534521,0.0327795854422789,4.01302302212158e-07,0.0370517725118357,0.0238788161195786,9.97556644369475e-08,0.72149257208585,"TCGA-FS-A1ZS",0,"",224.817492266679,525.57600633409,0.795151730331624,2.35373655951692e-22,0.871596579710267,3.61147237567256e-31,0.849696618103667,34.1846798542683,0.873033008796065,0.319651641532494
0.00955181124383474,0.0405972364747223,0.0332328387805737,0.0150304727503221,0.0400458215049589,0.0118475046554258,0.000138395888723493,0.849555918701439,"TCGA-D9-A148",0,"",63.5908051748319,129.800173914212,0.588194298337892,0,0.834834820086267,2.29294481307824e-26,0.760705283074288,8.56546758448346,0.794167208326308,0.1749257168361
0.000256832771906997,0.0347654179256867,0.0296094630295362,0.0142548376205568,0.0751191384494673,0.0130430163743891,6.75296682992213e-09,0.83295128707549,"TCGA-FS-A1ZY",0,"",106.721213342165,146.805076773335,0.558739931048935,2.72333301214985e-09,0.56770858352675,1.32843736238553e-09,0.374855080426026,18.7550436417342,0.428690863694108,0.193440395837948
0.00868000819746137,0.0211485882507824,0.0497484235400165,0.0288569925835051,0.0434210406409662,0.0084895397671354,1.98808489567359e-09,0.839655405032048,"TCGA-FS-A1YW",0,"",91.7121857642505,111.488591142441,0.546917736166632,1.17030646302299e-08,0.571470718335621,9.76716377386633e-10,0.390456039572244,11.2960994044061,0.460242578215548,0.177398193306603
