"T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts","patient_id"
1.28446578192117,0.946955386643119,1.22303024671553,2.92818951194575,0.180734524179198,3.20164761452448,1.61540441170609,1.54035434879617,2.52364089991808,6.91044352283396,"TCGA-D3-A3MU"
1.23875131105043,0.741057040973964,0.938795259554199,1.56354116279474,0.140753005173636,2.30075999931743,0.450259207203525,1.67526920933829,1.30314731821356,4.04120081651842,"TCGA-ER-A2ND"
0.829093808958411,0.0543622884496891,0.636730479711326,0.876901054397969,0.0803349255593237,0.569563183269131,0.394977464148117,1.1257420219198,1.38777541316718,3.36539641775783,"TCGA-ER-A3ES"
3.79802151359777,5.1987848635441,3.78697518799799,3.42072616334802,1.49213835712471,4.77626373869003,2.07118731744892,1.61634358198743,3.40026526398746,6.24164090285724,"TCGA-ER-A2NH"
0.221033234546567,0.0223323000980564,1.20683387331808,0.688794379316365,0.212432938702597,0.706451201772576,0.163337985736408,0.961385308944169,1.65500457914006,3.1142556885742,"TCGA-GN-A262"
1.01231246154488,0.543396895807572,0.811293345255008,2.15036406986511,0.10341396227269,1.66134506439887,1.76878730184582,1.30444460769841,1.9263426124832,5.05036752740863,"TCGA-D3-A2JG"
1.19670910505933,0.345169250856654,0.659317980993157,1.36186337284521,0.214063072152039,3.52802063102959,1.23702504748557,1.6728156280854,3.20237536750652,7.95973307589008,"TCGA-FS-A1ZS"
2.15426760395873,1.71241969708052,2.05375684541219,2.58943449251329,0.156821386159452,3.07794374505356,1.19209967293347,1.55773822223207,2.60318894885551,4.87792129678694,"TCGA-D9-A148"
0.827716487030573,0.103665482765696,0.873464445945174,0.961322177278028,0.0728970739389277,1.13616750849836,0.206371726241034,1.58395765931093,2.50111717554133,4.78299420141571,"TCGA-FS-A1ZY"
1.47673443924945,0.464459165612994,0.868801703562487,3.62183379460327,0.260734187209789,2.71352515146887,1.55910877129852,1.47890309889485,2.19286831459053,4.56250640360591,"TCGA-FS-A1YW"
2.4128232745217,1.22237181126008,1.21587630636756,3.63990662232359,0.338035611806124,3.10770580392528,1.42601001173323,1.35193986397894,2.71711974950023,6.16265515653622,"TCGA-DA-A1I0"
1.9436160145354,0.770448504849234,1.0072520338983,2.89235785026684,0.184586359541493,3.28049302166715,1.4382553052127,1.69566706647188,2.63911826751464,4.55952408864687,"TCGA-EE-A2MM"
0.687387744620334,0.0954518810856605,0.919822501886748,1.55643645606169,0.132416364907516,2.16927459204034,0.59176815226068,2.01777398102688,2.58318288036763,6.1186872045837,"TCGA-EB-A24C"
2.67610919241031,3.08437046472991,2.53609807895835,3.05432828246684,1.4179092279071,4.46538824757222,2.10459575063865,1.56302085070597,3.32994637724581,5.58678336076234,"TCGA-FS-A1Z0"
1.48907783109485,1.19433924948446,0.94348207964941,2.5547032038094,0.106125538918887,2.43338342249135,1.20024308390638,1.29563271162313,1.71965084015953,3.19360543198754,"TCGA-FW-A3TU"
3.04506649358664,2.8074991843487,2.99020468581169,5.25642946575387,0.823461022762312,4.18086799556097,1.81223026288493,2.00124037082682,3.41991433071602,7.45767140587916,"TCGA-FS-A1ZH"
1.343369439475,1.15607296095057,1.27577281980875,1.23882242338179,0.126403104814595,2.4037257423502,1.20173758008718,1.44681305914094,2.03902954240849,4.52967167375143,"TCGA-BF-AAP8"
1.84019657632173,1.87483630265047,1.9530960633778,1.8125118411823,0.410349642564513,3.27524304861081,0.714947115984124,1.47003110964738,2.80486346311509,5.17021827435548,"TCGA-D3-A5GS"
1.78555562368301,1.55566893377054,1.35428449090999,1.62317373848583,0.173477663647133,1.99280548666842,0.81008180395667,1.03385642492401,2.09647073664592,4.36840855654073,"TCGA-ER-A194"
3.05828246217936,3.08788710093312,3.21780390659387,4.09106262568602,0.521659845421739,3.76999475410295,1.23499972796858,1.80400670346032,2.85463666588421,4.29962135490904,"TCGA-EE-A2ML"
3.25119782887349,2.20583038518444,1.92369115616342,6.19703487595307,0.50448918745664,4.4478181552349,3.13272784059026,1.95855044069386,3.06016487306172,5.77694537226722,"TCGA-D3-A3CF"
1.99068728882222,2.05616730630043,1.97380796947905,3.66444312773322,0.419636708863098,2.36110732240202,0.876464634246816,0.979401468366764,1.58087552502426,3.74019729890339,"TCGA-DA-A95V"
1.8249732789596,0.445726703349984,1.60453600418431,2.51076039605798,0.190632602688022,2.91562296056936,2.24208671585847,1.89067700739268,3.28848648889429,7.39367654733896,"TCGA-EB-A57M"
1.39713267426347,0.437121184384194,1.68444829454057,1.12738241372132,0.16106003599174,2.44806017212745,0.979162812935006,1.7341743320978,2.97849089502483,5.58427075068193,"TCGA-EE-A20H"
2.9212169042347,3.16859390213665,3.08672554975616,1.1428108809972,0.825473821966933,3.18169359770694,1.96987973761309,2.0311769494652,1.87958856259331,5.03427283789706,"TCGA-GN-A4U5"
1.10073246128754,0.303926836480695,0.847875632415653,1.70802738158751,0.137790960375755,2.46463029122707,2.03931325101491,1.65186868487236,2.60191673781002,5.61858965915439,"TCGA-W3-AA1O"
1.79198867575415,1.82537860389293,1.68230944587097,2.33020121761212,0.513230086060455,3.09654759044999,1.80138199304674,1.5609036917284,2.54556525536592,3.76798336782557,"TCGA-Z2-AA3S"
1.50384692941381,1.06598582949859,1.44582119150582,2.75198899694148,0.256160022550265,1.98659810342837,1.65304263496236,1.42766662471661,1.93010216744694,5.53191053212198,"TCGA-WE-A8JZ"
1.89570271135399,0.556012426749704,1.16789067527238,4.12971435515223,0.174696967550059,4.38554777791428,2.58271807208823,1.59577389165762,2.98502734437668,6.24554377306546,"TCGA-ER-A3ET"
1.05751608110577,0.298071734933995,1.21812415178959,1.16571319996814,0.177863101737908,2.30132921903713,0.824317882232155,1.43645821588154,2.66893802438561,5.84910744411183,"TCGA-ER-A19C"
2.84800709331776,3.11246661407598,2.52501149278014,2.067695019831,0.746959639574222,3.18395463258479,1.15063034994798,1.57969985964917,1.75289521040999,4.34571000686467,"TCGA-EB-A6R0"
2.903860891286,1.89382814737279,2.56317274287939,6.34327225839584,0.925614285425706,3.72550454235347,2.43727635986137,1.52174452300573,2.87174659793827,5.95757573576007,"TCGA-D3-A5GR"
2.76203530067007,3.64368305598158,2.67799049865061,4.80353881358692,0.732042102830571,3.41935341307254,1.50936142536106,1.09931122465887,2.30927745125506,5.37360164556996,"TCGA-D3-A3MR"
0.820792710610927,0.176195094863408,0.947517338387157,1.2220423472699,0.563945229253503,2.6677523004416,1.17850430108667,1.38487916643812,3.21304654706811,6.73990347191051,"TCGA-ER-A42H"
3.4574747738158,4.61260020108348,3.28942012918763,5.98533051837936,1.03644025630909,4.87667745988957,2.9049212952397,1.66666001825147,2.52611260004184,5.27139609334327,"TCGA-D3-A3CB"
4.99581504819715,2.55011262964724,2.32289463830697,8.61226711935641,0.9320142172989,4.38713054507452,2.97774004353225,1.74911713508285,3.21404262892996,5.95640471981902,"TCGA-ER-A1A1"
3.0136843272601,3.53884852074424,2.33780354845279,3.54147412859696,0.576659709673129,2.95322317572924,1.5564829108378,1.19242795340622,1.58369546035907,3.96763101374927,"TCGA-D3-A2JL"
