"patient_id","cell_type","n_cells","gln_score","ifng_score","curated_gln_score","curated_ifng_score","gln_detected","ifng_detected"
"Tumor 53","Malignant",16,0.170918754747901,-0.477491792198213,0.133316632293262,-0.206337940466558,0.238095238095238,0.282608695652174
"Tumor 53","T cell",72,-0.142041760471107,0.232110080695571,-0.236027648660463,0.116677117939738,0.142857142857143,0.478260869565217
"Tumor 53","NK cell",10,-0.22737770853058,0.0245919507614863,-0.20793074854161,0.13483686212364,0.0952380952380952,0.391304347826087
"Tumor 53","Macrophage",12,-0.0525054079845823,0.182787145674847,0.00162356070087079,0.501900307471152,0.19047619047619,0.608695652173913
"Tumor 53","Endothelial",10,0.0750710585082777,-0.131471724797063,0.0815558240702516,0.281513275375866,0.214285714285714,0.369565217391304
"Tumor 53","CAF",4,0.25201620639943,-0.306395525740162,0.302016656022597,-0.00932405984852201,0.214285714285714,0.304347826086957
"Tumor 58","T cell",117,-0.193787343599046,0.111112960475827,-0.259336523288672,-0.0442974003163317,0.0952380952380952,0.478260869565217
"Tumor 58","NK cell",4,-0.201293704320141,-0.117106626192897,-0.403306818888192,-0.069238501016507,0.0952380952380952,0.347826086956522
"Tumor 58","B cell",2,-0.0989076749672137,0.0241468358311971,-0.339550506863866,0.0647971694068465,0.166666666666667,0.5
"Tumor 58","Macrophage",2,-0.0553562010451087,1.07392001600095,-0.101169412487371,0.319101040382763,0.142857142857143,0.608695652173913
"Tumor 59","Malignant",54,0.179443699207475,-0.581890814486485,0.254808175552817,-0.39003874443962,0.238095238095238,0.173913043478261
"Tumor 59","Macrophage",1,-0.0360560946268801,1.17456645657309,0.0284115825575239,0.609931748654108,0.19047619047619,0.652173913043478
"Tumor 59","CAF",7,0.134608549031234,-0.439520592365053,0.204217394032933,0.0452330853872982,0.19047619047619,0.173913043478261
"Tumor 60","Malignant",9,0.457877399018744,-0.479891984552021,0.236763948569182,-0.204954124878774,0.333333333333333,0.304347826086957
"Tumor 60","T cell",79,-0.175317586135094,0.197973072627814,-0.242039643858978,0.0352124713276164,0.0952380952380952,0.478260869565217
"Tumor 60","NK cell",10,-0.227450185741113,-0.0763531404628354,-0.290746991308201,-0.0122160457444186,0.0952380952380952,0.369565217391304
"Tumor 60","B cell",95,-0.127413195226807,-0.172451934832639,-0.17013559680615,-0.0777731325165955,0.0952380952380952,0.304347826086957
"Tumor 60","Macrophage",4,-0.177794883809314,0.137319179222719,-0.232627690471163,0.0125210703762721,0.0952380952380952,0.434782608695652
"Tumor 65","Malignant",4,0.136166717268401,-0.294009652888043,0.227223987682789,-0.223819596508924,0.30952380952381,0.347826086956522
"Tumor 65","T cell",41,-0.211473007178623,0.0466997479105599,-0.224415729737448,-0.0918303703541316,0.0952380952380952,0.391304347826087
"Tumor 65","B cell",5,-0.283012132447097,-0.0791614998536569,-0.47702081387724,0.0530990406824435,0.0476190476190476,0.478260869565217
"Tumor 65","Macrophage",1,-0.0136802287468516,2.42817076867851,0.0755079448937651,1.2646179209311,0.19047619047619,0.869565217391304
"Tumor 67","T cell",65,-0.165844326155731,0.204173985586643,-0.109951424889081,-0.0280222947877469,0.0952380952380952,0.434782608695652
"Tumor 67","NK cell",1,0.319499762799491,0.169032190936106,-0.0588639514270741,0.0224422597789429,0.238095238095238,0.391304347826087
"Tumor 67","B cell",19,-0.193309994396357,0.0385639132123767,-0.0193761679938151,0.0363196866565401,0.0952380952380952,0.304347826086957
"Tumor 71","Malignant",54,0.178724853012652,-0.0104206821045983,0.333768251864254,-0.0564677017291063,0.285714285714286,0.434782608695652
"Tumor 71","T cell",23,-0.243798504045081,0.192472221196473,-0.226032904742328,-0.0490163455852365,0.0952380952380952,0.478260869565217
