"term","estimate","std.error","statistic","p.value"
"glutamine",0.0520871878835616,2.50678437644595,-1.17873571503467,0.238503429348866
"ifng_response",0.2289058213904,2.01607612700367,-0.731343722875129,0.464569230474702
"age",1.03048074415753,0.0128112962074044,2.34366880336313,0.0190951192495061
"gendermale",0.88676605304039,0.319271647389619,-0.376400733492866,0.706619000778185
"simple_stageLate Stage (III/IV)",1.03846572881097,0.314231244401406,0.120116518641914,0.904390847147594
"glutamine:ifng_response",0.131386364923008,3.9372826856068,-0.515485706282807,0.606213655376972
